id	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16	HUGO
ENSG00000009709:010	0	0	PAX7
ENSG00000009709:011	0	0	PAX7
ENSG00000009709:012	0	0	PAX7
ENSG00000009709:013	0	0	PAX7
ENSG00000009709:014	0	0	PAX7
ENSG00000010671:001	0	0	BTK
ENSG00000010671:002	0	0	BTK
ENSG00000010671:003	0	0	BTK
ENSG00000010671:004	0	0	BTK
ENSG00000010671:005	0	0	BTK
ENSG00000010671:006	0	0	BTK
ENSG00000010671:007	0	0	BTK
ENSG00000010671:008	0	0	BTK
ENSG00000010671:009	0	0	BTK
ENSG00000010671:010	0	0	BTK
ENSG00000010671:011	0	0	BTK
ENSG00000010671:012	0	0	BTK
ENSG00000010671:013	0	0	BTK
ENSG00000010671:014	0	0	BTK
ENSG00000010671:015	0	0	BTK
ENSG00000010671:016	0	0	BTK
ENSG00000010671:017	0	0	BTK
ENSG00000010671:018	0	0	BTK
ENSG00000010671:019	0	0	BTK
ENSG00000010671:020	0	0	BTK
ENSG00000010671:021	0	0	BTK
ENSG00000010671:022	0	0	BTK
ENSG00000010671:023	0	0	BTK
ENSG00000010671:024	0	0	BTK
ENSG00000010671:025	0	0	BTK
ENSG00000010671:026	0	0	BTK
ENSG00000010671:027	0	0	BTK
ENSG00000010671:028	0	0	BTK
ENSG00000010671:029	0	0	BTK
ENSG00000010671:030	0	0	BTK
ENSG00000010671:031	0	0	BTK
ENSG00000010671:032	0	0	BTK
ENSG00000010671:033	0	0	BTK
ENSG00000010671:034	0	0	BTK
ENSG00000010671:035	0	0	BTK
ENSG00000010671:036	0	0	BTK
ENSG00000010671:037	0	0	BTK
ENSG00000010671:038	0	0	BTK
ENSG00000010671:039	0	0	BTK
ENSG00000012048:001	0	0	BRCA1
ENSG00000012048:002	0	0	BRCA1
ENSG00000012048:003	0	0	BRCA1
ENSG00000012048:004	0	0	BRCA1
ENSG00000012048:005	0	0	BRCA1
ENSG00000012048:006	0	0	BRCA1
ENSG00000012048:007	0	0	BRCA1
ENSG00000012048:008	0	0	BRCA1
ENSG00000012048:009	0	0	BRCA1
ENSG00000012048:010	0	0	BRCA1
ENSG00000012048:011	0	0	BRCA1
ENSG00000012048:012	0	0	BRCA1
ENSG00000012048:013	0	0	BRCA1
ENSG00000012048:014	0	0	BRCA1
ENSG00000012048:015	0	0	BRCA1
ENSG00000012048:016	0	0	BRCA1
ENSG00000012048:017	0	0	BRCA1
ENSG00000012048:018	0	0	BRCA1
ENSG00000012048:019	0	0	BRCA1
ENSG00000012048:020	0	0	BRCA1
ENSG00000012048:021	0	0	BRCA1
ENSG00000012048:022	0	0	BRCA1
ENSG00000012048:023	0	0	BRCA1
ENSG00000012048:024	0	0	BRCA1
ENSG00000012048:025	0	0	BRCA1
ENSG00000012048:026	0	0	BRCA1
ENSG00000012048:027	0	0	BRCA1
ENSG00000012048:028	0	0	BRCA1
ENSG00000012048:029	0	0	BRCA1
ENSG00000012048:030	0	0	BRCA1
ENSG00000012048:031	0	0	BRCA1
ENSG00000012048:032	0	0	BRCA1
ENSG00000012048:033	0	0	BRCA1
ENSG00000012048:034	0	0	BRCA1
ENSG00000012048:035	0	0	BRCA1
ENSG00000012048:036	0	0	BRCA1
ENSG00000012048:037	0	0	BRCA1
ENSG00000012048:038	0	0	BRCA1
ENSG00000012048:039	0	0	BRCA1
ENSG00000012048:040	0	0	BRCA1
ENSG00000012048:041	0	0	BRCA1
ENSG00000012048:042	0	0	BRCA1
ENSG00000012048:043	0	0	BRCA1
ENSG00000012048:044	0	0	BRCA1
ENSG00000012048:045	0	0	BRCA1
ENSG00000012048:046	0	0	BRCA1
ENSG00000012048:047	0	0	BRCA1
ENSG00000012048:048	0	0	BRCA1
ENSG00000012048:049	0	0	BRCA1
ENSG00000012048:050	0	0	BRCA1
ENSG00000012048:051	0	0	BRCA1
ENSG00000012048:052	0	0	BRCA1
ENSG00000012048:053	0	0	BRCA1
ENSG00000012048:054	0	0	BRCA1
ENSG00000012048:055	0	0	BRCA1
ENSG00000012048:056	0	0	BRCA1
ENSG00000012048:057	0	0	BRCA1
ENSG00000012048:058	0	0	BRCA1
ENSG00000012048:059	0	0	BRCA1
ENSG00000012048:060	0	0	BRCA1
ENSG00000012048:061	0	0	BRCA1
ENSG00000012048:062	0	0	BRCA1
ENSG00000012048:063	0	0	BRCA1
ENSG00000012048:064	0	0	BRCA1
ENSG00000012048:065	0	0	BRCA1
ENSG00000012048:066	0	0	BRCA1
ENSG00000012048:067	0	0	BRCA1
