Tile	Base	Mean	sample
1102	64-65	0.142648333137	brain100-1-1
1102	66-67	0.15000359748	brain100-1-1
1102	68-69	0.179486451888	brain100-1-1
1102	70-71	0.180442816358	brain100-1-1
1102	72-73	0.112617416665	brain100-1-1
1102	74-75	-0.170108298883	brain100-1-1
1102	76-77	-0.128500563261	brain100-1-1
1102	78-79	0.127933104789	brain100-1-1
1102	80-81	0.19852610888	brain100-1-1
1102	82-83	0.224410806598	brain100-1-1
1102	84-85	0.0963234326116	brain100-1-1
1102	86-87	0.0753734737842	brain100-1-1
1102	88-89	0.0340720389591	brain100-1-1
1102	90-91	0.030686065783	brain100-1-1
1102	92-93	-0.0288764058762	brain100-1-1
1102	94-95	-0.00734346041288	brain100-1-1
1102	96-97	0.0621826326259	brain100-1-1
1102	98-99	-0.084089787486	brain100-1-1
1102	100	0.295505552858	brain100-1-1
1103	1	-0.234787116837	brain100-1-1
1103	2	-0.168001116126	brain100-1-1
1103	3	0.0407066232707	brain100-1-1
1103	4	0.00352403185041	brain100-1-1
1103	5	0.276794223331	brain100-1-1
1103	6	0.0314569868665	brain100-1-1
1103	7	-0.351989721922	brain100-1-1
1103	8	-0.0469692101127	brain100-1-1
1103	9	-0.0336725700566	brain100-1-1
1103	10-11	-0.0350273726076	brain100-1-1
1103	12-13	0.0656406191111	brain100-1-1
1103	14-15	0.0335331508459	brain100-1-1
1103	16-17	0.00761748226792	brain100-1-1
1103	18-19	0.039950433006	brain100-1-1
1103	20-21	0.07278911975	brain100-1-1
1103	22-23	-0.0147962673799	brain100-1-1
1103	24-25	-0.0501302071541	brain100-1-1
1103	26-27	-0.0445213336853	brain100-1-1
1103	28-29	0.101893921155	brain100-1-1
1103	30-31	0.0242600592626	brain100-1-1
1103	32-33	-0.0139354917016	brain100-1-1
1103	34-35	0.0684484767435	brain100-1-1
1103	36-37	-0.0282286125901	brain100-1-1
1103	38-39	0.00817665802819	brain100-1-1
1103	40-41	0.0904743462754	brain100-1-1
1103	42-43	0.130227959129	brain100-1-1
1103	44-45	0.0639715992512	brain100-1-1
1103	46-47	0.032864988965	brain100-1-1
1103	48-49	0.102517239651	brain100-1-1
1103	50-51	-0.0107995899086	brain100-1-1
1103	52-53	-0.0510934620057	brain100-1-1
1103	54-55	-0.146229449406	brain100-1-1
1103	56-57	-0.0861066715726	brain100-1-1
1103	58-59	0.00496624150583	brain100-1-1
1103	60-61	0.082275368699	brain100-1-1
1103	62-63	0.0708807005685	brain100-1-1
1103	64-65	0.0693400624606	brain100-1-1
1103	66-67	0.0860938230439	brain100-1-1
1103	68-69	0.124975173693	brain100-1-1
1103	70-71	0.163107812181	brain100-1-1
1103	72-73	-0.0159540119063	brain100-1-1
1103	74-75	0.158463129688	brain100-1-1
1103	76-77	0.103245468485	brain100-1-1
1103	78-79	0.168144745001	brain100-1-1
1103	80-81	0.11598642634	brain100-1-1
1103	82-83	0.137597619785	brain100-1-1
1103	84-85	-0.218156205398	brain100-1-1
1103	86-87	-0.0173867072112	brain100-1-1
1103	88-89	0.0777695179507	brain100-1-1
1103	90-91	0.0049717800687	brain100-1-1
1103	92-93	0.176837879838	brain100-1-1
1103	94-95	0.238370825301	brain100-1-1
1103	96-97	0.193135013578	brain100-1-1
1103	98-99	0.186096547918	brain100-1-1
1103	100	0.0288388861913	brain100-1-1
1104	1	-0.606215688266	brain100-1-1
1104	2	0.260570312446	brain100-1-1
1104	3	0.0549923375564	brain100-1-1
1104	4	0.217809746136	brain100-1-1
1104	5	0.0767942233313	brain100-1-1
1104	6	0.112938468348	brain100-1-1
1104	7	0.219438849506	brain100-1-1
1104	8	0.167316504173	brain100-1-1
